"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Frágiles y situaciones de conflicto afectados","FCS","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finlandia","FIN","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10247","13948","14091","12254","12391","12744","12506","12441","11965","12625","13584","13848","15829","19592","21333","23109","20896","",
"Fiji","FJI","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121","1320","1130","1352","",
"Francia","FRA","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136033","160375","161808","152302","163650","166653","159521","158875","165722","171984","199900","210288","222555","240113","237702","278530","","",
"Islas Feroe","FRO","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","",
"Gabón","GAB","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","729","1019","1069","1009","1248","1251","1258","1421","1620","1544","1175","1192","1218","1475","1275","","","",
"Reino Unido","GBR","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403860","452135","362322","364131","400867","453898","492754","522439","585672","611478","663616","632517","664974","684874","774854","766688","790311","",
"Georgia","GEO","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6141","7713","8738","7781","11314","14172","15061","17856","18254","19491","21932","25911","25562","22936","18118","21680","20233","",
"Ghana","GHA","Nuevas empresas registradas (número)","IC.BUS.NREG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7651","9624","14485","15324","13760","15649","13154","","","","","27484","26402","25153","24875","25879","26354","",
