Country Name,Happiness_Score 2015,Happiness_Score 2016,Happiness_Score 2017,Happiness_Score 2018,Happiness_Score 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust_(Government_Corruption) 2015,Trust_(Government_Corruption) 2016,Trust_(Government_Corruption) 2017,Trust_(Government_Corruption) 2018,Trust_(Government_Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019
Kenia,4.419,4.356,4.55299997329712,4.41,4.509,0.99876,0.7624,1.06795072555542,1.048,0.983,0.42215,0.40576,0.452763766050339,0.504,0.431,0.05839,0.06686,0.0646413192152977,0.055,0.053,0.37542,0.41328,0.444860309362411,0.352,0.372
Kirguistán,5.286,5.185,5.00400018692017,5.131,5.261,1.15115,0.95434,1.39423859119415,1.416,1.438,0.43477,0.40212,0.454943388700485,0.54,0.508,0.04232,0.04762,0.0394391790032387,0.035,0.023,0.3003,0.38432,0.42858037352562,0.281,0.3
Kosovo,5.589,5.401,5.27899980545044,5.662,6.1,0.81198,0.66062,1.13785350322723,1.23,1.232,0.24749,0.14396,0.260287940502167,0.448,0.489,0.04741,0.06547,0.0574716180562973,0.023,0.006,0.2831,0.27992,0.319931447505951,0.274,0.262
Kuwait,6.295,6.239,6.10500001907349,6.083,6.021,1.16594,0.87758,1.25969874858856,1.301,1.319,0.55499,0.43166,0.496337592601776,0.554,0.493,0.25609,0.23669,0.215159550309181,0.106,0.097,0.16228,0.15965,0.228289797902107,0.167,0.142
Laos,4.792749999999998,4.876,4.7495,4.623,4.796,0.8379324999999938,0.5497,0.7918499999999999,1.034,1.03,0.5726475000000001,0.52168,0.57384,0.626,0.547,0.2011800000000008,0.22423,0.199115,0.174,0.164,0.3371774999999957,0.43079,0.330395,0.23,0.266
Lesoto,4.430857167925183,4.119428627831612,3.80800008773804,3.808,3.802,1.1084729103524325,1.1492840482929763,1.19009518623352,1.215,1.169,0.35357179977961906,0.3721165495041435,0.390661299228668,0.423,0.359,0.12147846857615718,0.1202865542963566,0.119094640016556,0.112,0.093,0.15521636339869005,0.1563568176470495,0.157497271895409,0.116,0.107
Letonia,5.098,5.56,5.84999990463257,5.933,5.94,1.09562,0.95025,1.40471494197845,1.454,1.465,0.29671,0.27996,0.325707912445068,0.363,0.264,0.06332,0.0889,0.0738427266478539,0.066,0.064,0.18226,0.17445,0.153074786067009,0.092,0.075
Liberia,4.571,3.622,3.53299999237061,3.495,3.975,0.78968,0.50353,0.872117936611176,0.858,0.922,0.28531,0.25748,0.332881182432175,0.419,0.37,0.06232,0.04852,0.0389482490718365,0.03,0.033,0.24362,0.24063,0.26654988527298,0.206,0.233
Libia,5.754,5.615,5.52500009536743,5.566,5.525,1.11862,0.95076,1.35756433010101,1.35,1.303,0.41668,0.40672,0.465733230113983,0.496,0.416,0.11023,0.10339,0.0926102101802826,0.148,0.152,0.18295,0.17087,0.152073666453362,0.116,0.133
Lituania,5.833,5.813,5.90199995040894,5.952,6.149,1.25745,1.06411,1.47351610660553,1.527,1.515,0.21342,0.18929,0.234231784939766,0.35,0.291,0.01031,0.0182,0.0118656428530812,0.006,0.042,0.02641,0.02025,0.010164656676352,0.026,0.043
Luxemburgo,6.946,6.871,6.86299991607666,6.91,7.09,1.21963,1.03999,1.45758366584778,1.52,1.479,0.61583,0.5487,0.59662789106369,0.632,0.526,0.37798,0.35329,0.31883442401886,0.321,0.316,0.28034,0.27571,0.283180981874466,0.196,0.194
